66,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
67,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","6,126,488","1,202","89,683",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
68,미녀는 괴로워,2006-12-14,"36,292,848,900","6,081,480",418,"87,141",한국,한국,(주)쇼박스
69,전우치,2009-12-23,"44,093,407,200","6,065,474",612,"102,357",한국,한국,CJ ENM
70,연평해전,2015-06-24,"45,569,255,830","6,045,199","1,013","114,490",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
71,인셉션,2010-07-21,"44,862,253,440","5,998,647",531,"92,909",미국,미국,"(주)디스테이션,워너브러더스 코리아(주)"
72,레미제라블,2012-12-19,"43,185,230,000","5,938,769",696,"85,092",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
73,캡틴 마블,2019-03-06,"51,507,488,723","5,802,810","2,100","186,382",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
74,타짜,2006-09-28,"36,182,617,500","5,685,715",492,"76,887",한국,한국,CJ ENM
75,쥬라기 월드: 폴른 킹덤,2018-06-06,"49,770,711,037","5,661,128","1,972","144,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
76,청년경찰,2017-08-09,"44,382,020,516","5,653,444","1,102","118,547",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
77,숨바꼭질,2013-08-14,"39,602,995,500","5,604,106",779,"88,066",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
78,덕혜옹주,2016-08-03,"44,397,617,609","5,599,995",964,"97,327",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
79,더 테러 라이브,2013-07-31,"39,870,954,381","5,584,295",809,"93,489",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
80,쥬라기 월드,2015-06-11,"47,804,159,826","5,547,463","1,290","119,248",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
